LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
404380,litchfield elementary district,AZ,suburban-midsize,2016-2017,0.764431947983481,4.16483613039276,7.36314910816273,39.0475353659608,44.3194798348124,4.34056761268781,11381,Diverse,0.0396219674529155,Highly integrated
404440,littleton elementary district,AZ,suburban-midsize,2016-2017,1.40046091118596,2.00319092359511,10.2641375642617,73.9762453465698,9.67913490515866,2.67683034922886,5641,Diverse,0.0154843751511451,Highly integrated
404500,madison elementary district,AZ,city-large,2016-2017,4.08928267166468,1.94240926904072,6.09984665189981,38.1495995910717,45.7147725336514,4.00408928267167,5869,Diverse,0.0963254279452049,Somewhat integrated
404630,marana unified district,AZ,suburban-large,2016-2017,1.39981777520086,1.74770148264723,2.1701316988321,36.8342582622381,54.3444048703719,3.50368591070985,12073,Diverse,0.0092952167856208,Highly integrated
404720,maricopa unified school district,AZ,town-distant,2016-2017,5.57901085645356,2.27683956574186,11.6103739445115,42.6718938480097,33.2478890229192,4.61399276236429,6632,Diverse,0.0181293639758874,Highly integrated
404970,mesa unified district,AZ,city-large,2016-2017,4.18176925877269,2.06555975878061,4.3194732426914,43.2976147137498,44.0526124186834,2.08297060732205,63179,Diverse,0.182290339747291,Somewhat integrated
405930,paradise valley unified district,AZ,city-large,2016-2017,0.970476100450578,3.85984812679207,3.05636953713331,30.6519204713741,57.3998802659357,4.06150549831427,31737,Diverse,0.263073902852255,Not integrated
406210,pendergast elementary district,AZ,city-large,2016-2017,1.09640458316871,2.10391149743185,7.2303437376531,74.2295535361517,12.2382457526669,3.1015408929277,10124,Diverse,0.0632655175017913,Highly integrated
406250,peoria unified school district,AZ,suburban-large,2016-2017,0.910968399015475,2.98752369366566,4.65668939372507,32.6477494553993,54.6920530738111,4.1050159843834,35347,Diverse,0.125427144408268,Somewhat integrated
406810,queen creek unified district,AZ,suburban-large,2016-2017,1.01669195751138,1.57814871016692,2.73141122913505,23.5508345978756,68.8163884673748,2.30652503793627,6590,Diverse,0.0105161946950896,Highly integrated
407240,safford unified district,AZ,town-remote,2016-2017,0.909681611435997,0.227420402858999,0.909681611435997,51.2670565302144,45.3216374269006,1.364522417154,3078,Diverse,0.0090785052072389,Highly integrated
407300,sahuarita unified district,AZ,town-distant,2016-2017,0.864372151500864,1.54015401540154,2.93886531510294,52.0666352349521,40.1225836869401,2.46738959610247,6363,Diverse,0.003021979479103,Highly integrated
407570,scottsdale unified district,AZ,city-midsize,2016-2017,2.43076395438566,5.35025293663723,4.20989453828346,22.1726828431793,64.3187859041413,1.51761982337306,23326,Diverse,0.204896832556975,Somewhat integrated
407700,show low unified district,AZ,rural-fringe,2016-2017,4.12121212121212,0.96969696969697,0.848484848484849,17.3333333333333,74.020202020202,2.70707070707071,2475,Diverse,0.0151420502594204,Highly integrated
407750,deer valley unified district,AZ,suburban-large,2016-2017,0.874756191264259,4.12849459187895,3.45174064661032,19.0023051007743,69.4012648501685,3.14143861930374,33838,Diverse,0.0907524497531246,Somewhat integrated
408310,tempe school district,AZ,city-midsize,2016-2017,6.83709359183323,3.86891996225444,10.8346916016128,52.8352063138029,21.3348202796603,4.28926825083641,11657,Diverse,0.114854714282406,Somewhat integrated
